#,Parent_ID,Screen_Function,Feature,Description,In_Charge,Status,Sprint,SRS,SDS,LOC,Code_Demo_Comments,Complexity,Quality
1,1,Queue screen (patient + doctor),Queue session & ticket API,"REST: open session, issue ticket, persist current number.",TruongNTCE180140,To Do,4,SRS §,SDS §,60,Postman CRUD session + ticket.,Medium,
2,1,Queue screen (patient + doctor),Patient queue display,Waiting-room UI; subscribe to updates (Socket or polling fallback).,TruongNTCE180140,To Do,4,SRS §,SDS §,70,Number changes without refresh.,Medium,
3,1,Queue screen (patient + doctor),Doctor Next + Socket.io broadcast,Doctor action advances queue; emit room event to patients.,TruongNTCE180140,To Do,4,SRS §,SDS §,50,Two browsers stay in sync.,High,
19,7,Payments,Payment provider config,MoMo/VNPay sandbox keys; create payment request DTO.,TanhNTCE182341,To Do,4,SRS §,SDS §,80,Sandbox intent created.,High,
20,7,Payments,Callback / webhook handler,Verify signature; idempotent update booking/wallet.,TanhNTCE182341,To Do,4,SRS §,SDS §,80,Replay callback once safely.,High,
21,7,Payments,Payment UI + test path,Redirect or QR step; show success/failure.,TanhNTCE182341,To Do,4,SRS §,SDS §,60,One successful sandbox transaction.,High,
22,8,Wallet + API,Wallet model & invariants,Balance field; non-negative rule at schema/service.,TanhNTCE182341,To Do,4,SRS §,SDS §,70,Unit: cannot go below zero.,High,
23,8,Wallet + API,Credit/debit operations,Mongo transaction or equivalent; audit lines.,TanhNTCE182341,To Do,4,SRS §,SDS §,70,Concurrent debits handled.,High,
24,8,Wallet + API,Wallet UI + API wiring,Show balance; list last movements on dashboard.,TanhNTCE182341,To Do,4,SRS §,SDS §,40,UI matches balance after op.,Medium,
25,9,Portal — Health insurance,Insurance card CRUD,"Store policy number, dates, coverage percent.",TanhNTCE182341,To Do,4,SRS §,SDS §,55,Create + read card.,Medium,
26,9,Portal — Health insurance,OCR hook (optional),Upload image URL; stub or external OCR parse.,TanhNTCE182341,To Do,4,SRS §,SDS §,55,Parsed fields editable.,Medium,
27,9,Portal — Health insurance,Billing discount rule,Apply coverage when quoting booking price.,TanhNTCE182341,To Do,4,SRS §,SDS §,50,With/without insurance cases.,Medium,
28,10,Portal — History,Transactions list API,"Paging, sort by date desc.",TanhNTCE182341,To Do,4,SRS §,SDS §,40,Page 2 works.,Medium,
29,10,Portal — History,Filters,"By date range and type (top-up, payment, refund).",TanhNTCE182341,To Do,4,SRS §,SDS §,40,Filtered JSON.,Medium,
30,10,Portal — History,Portal history view,Table + optional CSV export button.,TanhNTCE182341,To Do,4,SRS §,SDS §,30,Export optional.,Medium,
31,11,Booking + Wallet,Cancel policy engine,Deadline rules per appointment type.,TanhNTCE182341,To Do,4,SRS §,SDS §,45,Unit tests inside/outside window.,Medium,
32,11,Booking + Wallet,Wallet refund credit,Atomic credit linked to cancellation reason.,TanhNTCE182341,To Do,4,SRS §,SDS §,45,Balance increases correctly.,Medium,
33,11,Booking + Wallet,Cancel UI flows,Patient cancels; shows refund message.,TanhNTCE182341,To Do,4,SRS §,SDS §,40,Two demo cases.,Medium,
37,13,Doctor — EMR,Encounter CRUD,Create/list encounters by patient; link appointment.,ThangNDCE180608,To Do,4,SRS §,SDS §,90,Three encounters in DB.,High,
38,13,Doctor — EMR,Diagnosis entries,Add DX per encounter; ICD ref optional.,ThangNDCE180608,To Do,4,SRS §,SDS §,90,Timeline sorted by date.,High,
39,13,Doctor — EMR,Doctor EMR UI,Timeline + patient search + encounter detail panel.,ThangNDCE180608,To Do,4,SRS §,SDS §,60,Click-through demo.,High,
40,14,Admin — Stock,Stock & movement models,"Medicine SKU, quantity, batch/expiry fields.",ThangNDCE180608,To Do,4,SRS §,SDS §,70,Models in Mongoose.,High,
41,14,Admin — Stock,Inbound/outbound flows,Adjust stock; link outbound to prescription later.,ThangNDCE180608,To Do,4,SRS §,SDS §,70,Stock delta correct.,High,
42,14,Admin — Stock,Admin stock table + alerts,Low stock + near-expiry highlight.,ThangNDCE180608,To Do,4,SRS §,SDS §,60,Table screenshot.,High,
46,16,Doctor — Imaging,Cloudinary config,Env keys; secure upload preset.,ThangNDCE180608,To Do,4,SRS §,SDS §,50,Upload returns URL.,Medium,
47,16,Doctor — Imaging,Media linked to encounter,Store metadata; patient/doctor ACL.,ThangNDCE180608,To Do,4,SRS §,SDS §,50,Image tied to visit.,Medium,
48,16,Doctor — Imaging,Imaging gallery UI,Thumbnails; lightbox.,ThangNDCE180608,To Do,4,SRS §,SDS §,40,One X-ray uploaded.,Medium,
