Parent_ID,Screen_Function,Epic_Feature,Description,In_Charge,Status,Sprint,SRS,SDS,LOC,Code_Demo_Comments,Complexity,Quality
1,Queue screen (patient + doctor),Real-time queue,Doctor clicks Next; Socket.io syncs the queue number to the patient screen immediately.,TruongNTCE180140,To Do,4,SRS §,SDS §,180,Demo two browsers in the same session.,High,
2,Admin / Doctor — Schedule,Appointment slot scheduling,Algorithm generates time slots from doctor shifts; prevents duplicate internal slots.,TruongNTCE180140,To Do,3,SRS §,SDS §,200,Show slot grid by day.,High,
3,Server — API architecture,Architecture & auth middleware,Express boilerplate; layered JWT middleware; centralized error handling.,TruongNTCE180140,To Do,1,SRS §,SDS §,120,Sample Postman collection.,Medium,
4,Portal + API,Registration & login,Accounts; password hashing; safe token issue and revocation.,TruongNTCE180140,To Do,2,SRS §,SDS §,150,Short video of registration flow.,Medium,
5,Portal — Find doctor,Smart search,Search by name; specialty; symptom hints (regex / index).,TruongNTCE180140,To Do,3,SRS §,SDS §,100,A few sample queries.,Medium,
6,Portal — Profile,Personal profile management,Update info; avatar; basic medical history.,TruongNTCE180140,To Do,2,SRS §,SDS §,90,Validated form.,Standard,
7,Payments,Online payment,MoMo or VNPay sandbox integration; callback handling.,TanhNTCE182341,To Do,4,SRS §,SDS §,220,Successful test transaction.,High,
8,Wallet + API,Internal medical wallet,Balance; atomic credit/debit; non-negative balance.,TanhNTCE182341,To Do,4,SRS §,SDS §,180,Unit tests for wallet flow.,High,
9,Portal — Health insurance,Health insurance management,Store insurance card; optional OCR; apply discount per rules.,TanhNTCE182341,To Do,4,SRS §,SDS §,160,Cases with and without insurance.,Medium,
10,Portal — History,Transaction history,List of top-ups and spends; filter by date and type.,TanhNTCE182341,To Do,4,SRS §,SDS §,110,Optional CSV export.,Medium,
11,Booking + Wallet,Automatic refund,Cancel before deadline; refund to wallet per policy.,TanhNTCE182341,To Do,4,SRS §,SDS §,130,Two cancel cases: inside and outside policy window.,Medium,
12,Server — RBAC,RBAC authorization,Medical record view policy; stock approval; consistent route guards.,TanhNTCE182341,To Do,2,SRS §,SDS §,100,Permission matrix.,Standard,
13,Doctor — EMR,EMR medical record,Diagnosis timeline; quick lookup by patient.,ThangNDCE180608,To Do,4,SRS §,SDS §,240,Three sample encounters.,High,
14,Admin — Stock,Pharmacy stock management,Stock in/out; low-stock and expiry warnings.,ThangNDCE180608,To Do,4,SRS §,SDS §,200,Stock table view.,High,
15,Admin — Staff,Doctor management,CRUD medical staff; departments; specialties.,ThangNDCE180608,To Do,3,SRS §,SDS §,160,CRUD demo.,Medium,
16,Doctor — Imaging,Imaging library,Cloudinary upload for X-ray / MRI; album per visit.,ThangNDCE180608,To Do,4,SRS §,SDS §,140,Upload one image.,Medium,
17,Admin — Facilities,Clinic room management,Functional rooms; equipment per room.,ThangNDCE180608,To Do,1,SRS §,SDS §,120,Room layout diagram.,Standard,
18,Admin — Catalog,ICD catalog,Standard disease codes; search when entering diagnosis.,ThangNDCE180608,To Do,3,SRS §,SDS §,100,Sample CSV import.,Standard,
19,Portal — Booking,Booking flow,Four steps: Department → Doctor → Time → Payment.,ThangDQCE182036,To Do,3,SRS §,SDS §,220,Screen recording.,High,
20,API Booking,Double-booking check,Prevent booking a slot already taken.,ThangDQCE182036,To Do,3,SRS §,SDS §,120,Concurrent test with two users.,High,
21,Portal — Home,Patient home page,Featured services; featured doctors; health news.,ThangDQCE182036,To Do,3,SRS §,SDS §,130,Responsive landing.,Medium,
22,Notifications,Web Push,Appointment reminders; lab results available.,ThangDQCE182036,To Do,4,SRS §,SDS §,140,Subscribe in Chrome.,Medium,
23,Portal — Review,Doctor rating,After visit; rating and comment.,ThangDQCE182036,To Do,4,SRS §,SDS §,100,One sample review.,Medium,
24,Portal — Favorites,Preferred doctor list,Shortcuts for faster re-booking.,ThangDQCE182036,To Do,3,SRS §,SDS §,80,Add/remove favorite.,Standard,
25,Admin — Reports,Revenue report,MongoDB aggregation + Chart.js charts.,KhoaNNCE181612,To Do,4,SRS §,SDS §,180,Monthly dashboard.,High,
26,Doctor — Prescriptions,Prescription PDF export,Medical-standard template from DB data.,KhoaNNCE181612,To Do,4,SRS §,SDS §,160,Sample PDF file.,High,
27,Portal + Kiosk,QR verification,QR on prescription and record for scan verification.,KhoaNNCE181612,To Do,4,SRS §,SDS §,100,Scan with phone camera.,Medium,
28,System — Email,Automated email,"SMTP for visit results, prescription, follow-up.",KhoaNNCE181612,To Do,4,SRS §,SDS §,120,MailHog or log output.,Medium,
29,Portal — Maps,Branch map,Maps API directions to clinic.,KhoaNNCE181612,To Do,3,SRS §,SDS §,100,One map marker.,Medium,
30,Admin + Portal,Complaint handling,Intake; processing status.,KhoaNNCE181612,To Do,4,SRS §,SDS §,110,Ticket workflow.,Standard,
31,Server — Quality,Input validation,Joi or Zod on main APIs.,Team,To Do,1,SRS §,SDS §,150,Example 400 error response.,Medium,
32,Server — Quality,Unified error handling,Error codes; messages; stack traces logged dev-only.,Team,To Do,1,SRS §,SDS §,80,Postman error response shape.,Medium,
33,DevOps,Seed & light migration,"Script to seed sample ICD codes, users, and clinics.",Team,To Do,1,SRS §,SDS §,60,npm run seed.,Standard,
34,Docs,Short API contract,OpenAPI or endpoint table for the team.,Team,To Do,1,SRS §,SDS §,40,Link in README.,Standard,
35,QA,Supertest smoke,"Minimal path: health, auth, booking, wallet.",Team,To Do,4,SRS §,SDS §,100,CI runs tests.,Medium,
