LOC Evaluation for OrcaXCare (WDP301),,,,,,,,,,,,,
Columns A–K: # through LOC (subtasks). B = Parent epic id (1–35). H = Sprint (1–4).,,,,,,,,,,,,,
"Teacher fills columns L–N (Code Demo Comments, Complexity, Quality); pivot by In Charge for LOC totals.",,,,,,,,,,,,,
#,Parent,Screen / Function,Feature,Screen/Function Description,In Charge,Status,Sprint,SRS,SDS,LOC,Code Demo Comments,Complexity,Quality
1,1,Queue screen (patient + doctor),Queue session & ticket API,"REST: open session, issue ticket, persist current number.",TruongNTCE180140,To Do,4,SRS §,SDS §,60,Medium: Postman CRUD session + ticket.,Medium,
2,1,Queue screen (patient + doctor),Patient queue display,Waiting-room UI; subscribe to updates (Socket or polling fallback).,TruongNTCE180140,To Do,4,SRS §,SDS §,70,Medium: Number changes without refresh.,Medium,
3,1,Queue screen (patient + doctor),Doctor Next + Socket.io broadcast,Doctor action advances queue; emit room event to patients.,TruongNTCE180140,To Do,4,SRS §,SDS §,50,Complex: Two browsers stay in sync.,High,
4,2,Admin / Doctor — Schedule,Shift / workday model,Link doctors to working hours and branch capacity.,TruongNTCE180140,To Do,3,SRS §,SDS §,70,Medium: Seed shifts visible in DB.,Medium,
5,2,Admin / Doctor — Schedule,Slot generation service,Generate non-overlapping slots from shifts; API for grid.,TruongNTCE180140,To Do,3,SRS §,SDS §,70,Complex: JSON grid for one week.,High,
6,2,Admin / Doctor — Schedule,Admin/Doctor slot calendar UI,Day/week grid; block invalid edits.,TruongNTCE180140,To Do,3,SRS §,SDS §,60,Complex: UI shows slot grid by day.,High,
7,3,Server — API architecture,Express structure,Routes/controllers/services layout; mount routers.,TruongNTCE180140,To Do,1,SRS §,SDS §,45,Medium: Folder tree matches SDS.,Medium,
8,3,Server — API architecture,Cross-cutting middleware,"CORS, request logging, centralized error wrapper stub.",TruongNTCE180140,To Do,1,SRS §,SDS §,45,Medium: Logs show request id.,Medium,
9,3,Server — API architecture,JWT middleware scaffold + /health,Optional verify hook; GET /health + Mongo ping.,TruongNTCE180140,To Do,1,SRS §,SDS §,30,Medium: Health returns 200 when DB up.,Medium,
10,4,Portal + API,Register API,Validate payload; hash password; create user + role.,TruongNTCE180140,To Do,2,SRS §,SDS §,55,Medium: Invalid email returns 400.,Medium,
